category,algorithmus,reference_image,test_image,ref_position,response,resptime,image_id
Stadt,eccv16,images/26.jpg,images/26_eccv16.jpg,1,1,3.004651,26
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,1,1,1.904375,31
Natur,eccv16,images/17.jpg,images/17_eccv16.jpg,0,0,1.857303,17
Stadt,siggraph17,images/27.jpg,images/27_siggraph17.jpg,0,0,1.28965,27
Alltag,siggraph17,images/42.jpg,images/42_siggraph17.jpg,0,0,2.341103,42
Stadt,siggraph17,images/35.jpg,images/35_siggraph17.jpg,0,1,2.273592,35
Alltag,eccv16,images/53.jpg,images/53_eccv16.jpg,1,1,2.540819,53
Alltag,eccv16,images/44.jpg,images/44_eccv16.jpg,1,1,2.73063,44
Stadt,eccv16,images/28.jpg,images/28_eccv16.jpg,1,1,1.561869,28
Stadt,siggraph17,images/21.jpg,images/21_siggraph17.jpg,0,0,3.797368,21
Natur,eccv16,images/14.jpg,images/14_eccv16.jpg,1,1,0.863838,14
Natur,siggraph17,images/12.jpg,images/12_siggraph17.jpg,1,1,1.186902,12
Stadt,eccv16,images/40.jpg,images/40_eccv16.jpg,1,0,3.304598,40
Natur,siggraph17,images/4.jpg,images/4_siggraph17.jpg,1,0,2.826746,4
Natur,siggraph17,images/2.jpg,images/2_siggraph17.jpg,1,1,3.794256,2
Natur,eccv16,images/11.jpg,images/11_eccv16.jpg,1,1,1.471492,11
Natur,eccv16,images/16.jpg,images/16_eccv16.jpg,0,0,1.876826,16
Alltag,siggraph17,images/47.jpg,images/47_siggraph17.jpg,1,0,2.105599,47
Natur,eccv16,images/7.jpg,images/7_eccv16.jpg,1,1,1.13924,7
Natur,siggraph17,images/18.jpg,images/18_siggraph17.jpg,0,0,2.357166,18
Stadt,eccv16,images/22.jpg,images/22_eccv16.jpg,0,0,2.062104,22
Natur,siggraph17,images/8.jpg,images/8_siggraph17.jpg,0,0,2.905736,8
Natur,eccv16,images/19.jpg,images/19_eccv16.jpg,1,1,1.070642,19
Natur,eccv16,images/15.jpg,images/15_eccv16.jpg,1,1,1.424758,15
Alltag,siggraph17,images/58.jpg,images/58_siggraph17.jpg,0,0,1.137342,58
Natur,siggraph17,images/3.jpg,images/3_siggraph17.jpg,1,0,3.878028,3
Stadt,siggraph17,images/24.jpg,images/24_siggraph17.jpg,1,1,1.810141,24
Natur,siggraph17,images/9.jpg,images/9_siggraph17.jpg,1,0,2.057798,9
Alltag,eccv16,images/54.jpg,images/54_eccv16.jpg,1,1,1.703405,54
Alltag,eccv16,images/59.jpg,images/59_eccv16.jpg,1,1,1.107336,59
Alltag,siggraph17,images/49.jpg,images/49_siggraph17.jpg,0,0,1.638455,49
Alltag,siggraph17,images/46.jpg,images/46_siggraph17.jpg,1,1,1.200447,46
Alltag,siggraph17,images/45.jpg,images/45_siggraph17.jpg,0,1,22.636334,45
Alltag,eccv16,images/56.jpg,images/56_eccv16.jpg,1,0,6.146038,56
Natur,siggraph17,images/10.jpg,images/10_siggraph17.jpg,0,1,10.859454,10
Alltag,eccv16,images/46.jpg,images/46_eccv16.jpg,0,1,5.46298,46
Natur,eccv16,images/18.jpg,images/18_eccv16.jpg,1,0,13.631678,18
Natur,siggraph17,images/4.jpg,images/4_siggraph17.jpg,0,0,3.777679,4
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,1,0,3.686395,31
Alltag,siggraph17,images/50.jpg,images/50_siggraph17.jpg,0,1,6.932346,50
Stadt,siggraph17,images/36.jpg,images/36_siggraph17.jpg,0,1,3.431269,36
Natur,siggraph17,images/2.jpg,images/2_siggraph17.jpg,1,0,7.948703,2
Stadt,eccv16,images/27.jpg,images/27_eccv16.jpg,1,0,4.424179,27
Stadt,siggraph17,images/21.jpg,images/21_siggraph17.jpg,1,0,7.389117,21
Stadt,eccv16,images/25.jpg,images/25_eccv16.jpg,1,0,2.670015,25
Stadt,eccv16,images/24.jpg,images/24_eccv16.jpg,1,0,2.010356,24
Stadt,eccv16,images/33.jpg,images/33_eccv16.jpg,0,0,5.54546,33
Stadt,siggraph17,images/26.jpg,images/26_siggraph17.jpg,0,1,2.22159,26
Stadt,eccv16,images/28.jpg,images/28_eccv16.jpg,1,0,2.77929,28
Natur,eccv16,images/12.jpg,images/12_eccv16.jpg,1,0,1.880247,12
Alltag,siggraph17,images/49.jpg,images/49_siggraph17.jpg,1,0,7.099724,49
Stadt,siggraph17,images/37.jpg,images/37_siggraph17.jpg,1,0,2.411571,37
Natur,eccv16,images/5.jpg,images/5_eccv16.jpg,0,0,1.222704,5
Natur,siggraph17,images/3.jpg,images/3_siggraph17.jpg,0,0,1.42788,3
Alltag,eccv16,images/55.jpg,images/55_eccv16.jpg,1,0,1.744377,55
Alltag,siggraph17,images/59.jpg,images/59_siggraph17.jpg,0,1,1.590945,59
Stadt,siggraph17,images/38.jpg,images/38_siggraph17.jpg,0,1,1.545494,38
Alltag,eccv16,images/57.jpg,images/57_eccv16.jpg,0,1,1.567709,57
Stadt,eccv16,images/39.jpg,images/39_eccv16.jpg,1,1,4.329025,39
Stadt,siggraph17,images/29.jpg,images/29_siggraph17.jpg,0,1,5.576768,29
Natur,eccv16,images/1.jpg,images/1_eccv16.jpg,0,1,1.704772,1
Alltag,eccv16,images/58.jpg,images/58_eccv16.jpg,1,1,1.586854,58
Alltag,eccv16,images/41.jpg,images/41_eccv16.jpg,0,1,6.616567,41
Natur,siggraph17,images/8.jpg,images/8_siggraph17.jpg,1,0,1.561347,8
Alltag,siggraph17,images/47.jpg,images/47_siggraph17.jpg,1,0,2.449233,47
Alltag,siggraph17,images/43.jpg,images/43_siggraph17.jpg,1,0,5.852464,43
Stadt,siggraph17,images/30.jpg,images/30_siggraph17.jpg,0,1,1.51229,30
Alltag,siggraph17,images/54.jpg,images/54_siggraph17.jpg,0,1,1.585063,54
Natur,eccv16,images/20.jpg,images/20_eccv16.jpg,1,0,2.851016,20
Alltag,siggraph17,images/51.jpg,images/51_siggraph17.jpg,1,1,1.70024,51
Stadt,eccv16,images/22.jpg,images/22_eccv16.jpg,1,0,1.551978,22
Natur,siggraph17,images/14.jpg,images/14_siggraph17.jpg,0,1,2.259162,14
Natur,eccv16,images/13.jpg,images/13_eccv16.jpg,1,1,1.097882,13
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,0,1,1.642576,60
Alltag,eccv16,images/53.jpg,images/53_eccv16.jpg,0,1,2.555583,53
Alltag,siggraph17,images/44.jpg,images/44_siggraph17.jpg,1,0,1.520299,44
Stadt,siggraph17,images/23.jpg,images/23_siggraph17.jpg,1,0,1.222919,23
Alltag,eccv16,images/42.jpg,images/42_eccv16.jpg,1,0,2.361929,42
Stadt,siggraph17,images/35.jpg,images/35_siggraph17.jpg,0,0,5.290241,35
Natur,siggraph17,images/6.jpg,images/6_siggraph17.jpg,0,1,2.95185,6
Natur,siggraph17,images/11.jpg,images/11_siggraph17.jpg,0,1,1.465627,11
Stadt,eccv16,images/34.jpg,images/34_eccv16.jpg,1,1,1.499012,34
Stadt,eccv16,images/32.jpg,images/32_eccv16.jpg,0,1,1.764755,32
Natur,eccv16,images/16.jpg,images/16_eccv16.jpg,0,1,4.82862,16
Stadt,siggraph17,images/40.jpg,images/40_siggraph17.jpg,1,0,1.898636,40
Natur,eccv16,images/17.jpg,images/17_eccv16.jpg,1,0,5.640166,17
Alltag,eccv16,images/48.jpg,images/48_eccv16.jpg,1,0,3.231892,48
Natur,siggraph17,images/15.jpg,images/15_siggraph17.jpg,1,0,1.280927,15
Alltag,eccv16,images/52.jpg,images/52_eccv16.jpg,0,1,2.516096,52
Natur,eccv16,images/19.jpg,images/19_eccv16.jpg,1,0,1.522516,19
Natur,eccv16,images/7.jpg,images/7_eccv16.jpg,0,1,1.503991,7
Natur,siggraph17,images/9.jpg,images/9_siggraph17.jpg,1,1,2.761675,9
Stadt,siggraph17,images/32.jpg,images/32_siggraph17.jpg,0,0,3.468545,32
Stadt,siggraph17,images/37.jpg,images/37_siggraph17.jpg,0,1,1.739534,37
Natur,siggraph17,images/11.jpg,images/11_siggraph17.jpg,1,1,1.532686,11
Natur,eccv16,images/7.jpg,images/7_eccv16.jpg,1,1,8.861129,7
Alltag,eccv16,images/45.jpg,images/45_eccv16.jpg,0,0,2.000798,45
Alltag,siggraph17,images/58.jpg,images/58_siggraph17.jpg,1,1,1.112901,58
Alltag,siggraph17,images/53.jpg,images/53_siggraph17.jpg,0,0,1.341289,53
Stadt,siggraph17,images/22.jpg,images/22_siggraph17.jpg,0,0,1.972451,22
Alltag,eccv16,images/59.jpg,images/59_eccv16.jpg,0,0,2.029486,59
Alltag,siggraph17,images/42.jpg,images/42_siggraph17.jpg,1,1,2.802189,42
Natur,eccv16,images/4.jpg,images/4_eccv16.jpg,0,0,3.968135,4
Alltag,eccv16,images/60.jpg,images/60_eccv16.jpg,0,0,1.774678,60
Alltag,siggraph17,images/47.jpg,images/47_siggraph17.jpg,1,1,4.313032,47
Stadt,eccv16,images/30.jpg,images/30_eccv16.jpg,1,0,1.674828,30
Natur,siggraph17,images/8.jpg,images/8_siggraph17.jpg,1,1,2.525047,8
Alltag,eccv16,images/54.jpg,images/54_eccv16.jpg,0,0,5.524312,54
Stadt,eccv16,images/34.jpg,images/34_eccv16.jpg,0,1,1.6951,34
Natur,siggraph17,images/18.jpg,images/18_siggraph17.jpg,1,1,8.175679,18
Stadt,eccv16,images/39.jpg,images/39_eccv16.jpg,0,0,3.776339,39
Stadt,eccv16,images/25.jpg,images/25_eccv16.jpg,0,1,2.483892,25
Stadt,siggraph17,images/28.jpg,images/28_siggraph17.jpg,0,0,1.015987,28
Alltag,eccv16,images/41.jpg,images/41_eccv16.jpg,0,0,2.332528,41
Stadt,eccv16,images/21.jpg,images/21_eccv16.jpg,1,1,4.48322,21
Stadt,siggraph17,images/26.jpg,images/26_siggraph17.jpg,1,1,1.303274,26
Natur,eccv16,images/19.jpg,images/19_eccv16.jpg,1,1,2.144936,19
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,1,1,2.776114,31
Stadt,siggraph17,images/40.jpg,images/40_siggraph17.jpg,1,0,1.51573,40
